id,nombre,direccion,telefono,correo,sitio_web,id_tipo,id_ubicacion
1,AGENCIA DE VIAJES DISCOVERY NATURE,3A. CALLE 1-46 Zona 1,55223857,discoverynat@intelnet.net.gt,,1,259
2,AMAZING ECO-TOURS,2A. CALLE 6-01 Zona 2,20156124,amazingecotours@hotmail.com,www.amazingecotours.com,1,259
3,AVENTURAS INFORMACION TURISTICA,3A. CALLE 2-38 Zona 3 BARRIO SANTO DOMINGO,57316563,ventas@aventurasturisticas.com,www.aventurasturisticas.com,1,259
4,CITY TRAVEL,10 AVENIDA 1-11 Zona 2 PLAZA SAN MARTIN,69778317,info@citytravel.com.gt,www.citytravel.com.gt,2,259
5,COBAN TRAVELS,5A. AVENIDA 2-28 Zona 1,45518409,info@cobantravels.com,www.cobantravels.com,1,259
6,ITZAE EXPEDITIONS,"6A CALLE 12-97 ""A"" Zona 10 ANILLO PERIFERICO",92938442,hzae.expeditions@gmail.com,,1,259
7,ITZAMBE TOURS,DIAGONAL 4 5-13 Zona 2,99954181,itzambe.tours@gmail.com,www.itzambetours.com,1,259
8,LET´S GO TRAVEL,1RA. CALLE 9-35 Zona 1,36279219,agencialetsgotravel@gmail.com,,2,259
9,Q´EQCHI´TOURS,12 AVENIDA 6-553 Zona 6,76139390,20evelinayala@gmail.com,,1,259
10,TURISMO VERAPAZ,1ERA. CALLE 5-027 Zona 1 CALLE MINERVA CALLE MINERVA,34667025,turismoverapazexpress@gmail.com,,1,259
11,AGENCIA DE VIAJES EL RETIRO,EL RETIRO SALIDA A CAHABON,31762505,,,1,269
12,BELENJU CONEXIONES,BARRIO SAN AGUSTIN,33514372,teddyasig09@gmail.com,,1,269
13,GUAYAJA,KM. 271,22991177,info@guayajaonline.com,www.guayajaonline.com,1,269
14,POSADA Y RESTAURANTE CASA EL SAPOTE MAYACH EXPEDICION,"KILOMETRO 6, RUTA A SEMUC CHAMPEY SISHALJA",58364773,manuelchavez.55@hotmail.com,,1,269
15,TOUR OPERADORA AVENTURAS INFORMACION TURISTICA LANQUIN,COLONIA EL RETIRO,23400063,"administracion@aventurasturisticas.com, efrainperez@hotelescoban",,1,269
16,AGENCIA DE VIAJES Y TRANSPORTES GEOMETAL,3 AVENIDA Zona 1 BARRIO SANTA ANA,91951777,geometal-transportes@hotmail.com,,1,261
17,FIORELLA TOURS,0 AVENIDA 1-21 Zona 03,96093689,fiorellatour@yahoo.es,,1,261
18,OPERADORA DE TURISMO VERDE VERAPAZ,5A. CALLE 5-17 Zona 1,10784009,turismoverdeverapaz@hotmail.com,,1,261
19,SANCRIS TOURS,"2DA. CALLE Zona 04 BARRIO SAN FELIPE,",86359600,lgsancrisitv@outlook.com,,1,261
20,AGENCIA DE VIAJES JOJO,2A. CALLE 2-46 Zona 2,43152617,viajesjojo@hotmail.com,,1,262
21,ACHI TOURS EXPRESS,3 CALLE Y 5 AVENIDA Zona 3,26871193,reyescaballeros@hotmail.com,,1,253
22,AGENCIA DE VIAJES DEL VALLE,"KILOMETRO 145.2 RUTA A SALAMA, ALDEA NUEVO SAN JUAN SALAMÁ, PLAZA COMERCIAL LOS PINOS LOCAL NO. 3",48943682,,,2,251
23,ECOCENTER TOURS,8A. AVENIDA 3-20 Zona 2,17490876,quetzalitotours@gmail.com,www.quetzalitoaventuras.com,1,251
24,LAX TRAVEL SALAMA,10 AVENIDA 4-96 Zona 1,77357559,info@laxtravelsalama.com,,2,251
25,AGENCIA DE VIAJES ACATENANGO,ALDEA LA SOLEDAD A LA PAR DE IGLESIA CATOLICA,93171495,agenciadeviajesacatenango@4gmail.com,www.agenciadeviajesacatenango.com,1,52
26,GO TOURS,"LA SOLEDAD ALDEA LA SOLEDAD, COLONIA EL POTRERITO",33209549,aledaniel2210@gmail.com,,1,52
27,LAX TRAVEL CHIMALTENANGO,1RA. CALLE 1-25 Zona 4 CENTRO COMERCIAL PLAZA DE LA FUENTE,43802938,hildadegomez@hotmail.com,,2,42
28,MOONTRAVEL CHIMALTENANGO,1 CALLE 4-74 Zona 3,11735683,ruth.n16@hotmail.com,,3,42
29,RUBYS EXPRESS,0 CALLE A 5-14 Zona 2,12457726,vicente_alonzo@hotmail.com,,1,45
30,BEST GUATEMALA,03 CALLE 3-14 Zona 1,85781143,travel@bestguatemala.com,,1,57
31,AGENCIA DE VIAJES SOY,ALDEA SAN JOSE CALDERAS,69708874,sologui5630@gmail.com,,1,54
