id,nombre,direccion,telefono,correo,sitio_web,id_ubicacion
1,MUQB’ILB’E SCHOOL,6 AVENIDA 5-39 ZONA 3,87900865,muqbilbeav@yahoo.com,www.muqbilbespanishschool.com  -  facebook: /muqvilbe spanish school,259
2,INSTITUTO GUATEMALTECO AMERICANO,RUTA 1 4-05 ZONA 4,59170093,,,1
3,"ACADEMIA DE ENSEÑANZA DEL IDIOMA ESPAÑOL ""XINABAJUL""","4A. AVENIDA 14-14 ZONA 5 COLONIA LOS ENCINOS, PLANTA BAJA",85889668,spanishschoolsinabajul@gmail.com,www.guatemala365.com,197
4,ESCUELA ECOLOGICA DE IDIOMA ESPAÑOL BIO ITZA,BARRIO EL PROGRESO,59332050,bioitza@yahoo.com,,277
5,CASA DE ESPAÑOL XELAJU,CALLEJON 15 DIAGONAL 13-02 ZONA 1,27797717,casaxelaju@gmail.com,www.casaxelaju.com,113
6,"CENTRO DE ESTUDIOS LINGUISTICOS, ANTROPOLOGICOS Y SOCIALES MAYA - CELAS MAYA -",6A. CALLE 14-55 ZONA 1,50811603,info@celasmaya.edu.gt,www.celasmaya.edu.gt    -    fb: celas maya,113
7,ENGLISH CLUB INTERNATIONAL LANGUAGE SCHOOL,DIAGONAL 4 9-46 ZONA 9,57307021,,,113
8,"ESCUELA DE ESPAÑOL ""EL MUNDO EN ESPAÑOL""","8A. AVENIDA CALLE ""B"" A-61 ZONA 1",52410144,elmundoxela@gmail.com,www.elmundoenespanol.org,113
9,ESCUELA DE ESPAÑOL JUAN SISAY,15 AVENIDA 8-38 ZONA 1,15993244,mailbox@juansisay.com,www.juansisay.org www.juansisayspanish.com,113
10,ESCUELA DE ESPAÑOL KAMALBE,"14 AVENIDA ""A"" 4-25 ZONA 1",44435495,lacomunidadschool@gmail.com,www.xelaspanish.org,113
11,ESCUELA DE ESPAÑOL LA PAZ,2A. CALLE CALLEJON 16 2-47 ZONA 1,59758109,xela.escuelalapaz@gmail.com,www.lapazspanishschool.com  -  facebook: /escuelalapaz,113
12,ESCUELA DE ESPAÑOL MIGUEL ANGEL ASTURIAS,8 CALLE 16-23 ZONA 1,13234597,administracion@spanishschool.com,www.spanishschool.com,113
13,ESCUELA DE ESPAÑOL MINERVA,24 AVENIDA 4-39 ZONA 3 COLONIA MINERVA,74309332,escuelaminerva@hotmail.com,www.minervaspanishschool.com,113
14,ESCUELA DE ESPAÑOL PROYECTO LINGUISTICO ESPAÑOL INGLES XEQUIJEL,6A. CALLE 13-36 ZONA 1,15834456,,,113
15,ESCUELA DE ESPAÑOL SAKRIBAL,6 CALLE 7-08 ZONA ZONA 1,99358657,info@sakribal.com,www.sakribal.com,113
16,GUATEMALENSIS SPANISH SCHOOL,19 AVENIDA 2-14 ZONA 1,46436118,gssxela@yahoo.com,www.spanland.com  /  fb: guatemalensis55,113
17,KIE BALAM,DIAGONAL 12 4-46 ZONA 1,71236159,moebius@super-highway.net,www.super-highwag.neta moebiusl,113
18,PROYECTO LINGUISTICO QUETZALTECO DE ESPAÑOL,5A. CALLE 2-40 ZONA 1,81444467,plq@plqe.org,www.plqe.org,113
