,nombre,direccion,telefono,correo,sitio_web,id_tarifas,id_habitaciones,id_clasificacion,id_ubicacion
0,B'OMB'IL  PEK,"CAMINO PRINCIPAL, CHISEC",95060481,bombilpek_villavictoria@hotmail.com,,1,1,,271.0
1,HOTEL LA ESTANCIA DE LA VIRGEN,,12974553,hotelestanciadelavirgenchisec@gmail.com,www.hotelaestanciadelavirgen.com,2,2,,271.0
2,HOTEL Y RESTAURANTE CASA VIEJA,KILOMETRO 292 RUTA CHISEC RAXRUHA,35142253,casavieja.chisec@gmail.com,,3,3,,271.0
3,ALCAZAR DE DOÑA VICTORIA,"1A. AVENIDA, 5-34 ZONA 1",13920015,recepcion@hotelescoban.com;brendachenal@gmail.com,www.hotelescoban.com,4,4,,259.0
4,CASA DON DIEGO HOTEL BOUTIQUE,5A. AVENIDA 3-36 ZONA 3,92918275,manleonoeramirez@gmail.com,,5,5,,259.0
5,CASA DURANTA,"3A. CALLE, 4-46 ZONA 3",17650602,hotelduranta2014@gmail.com; info@casadurnat.com,www.casaduranta.com  -  fb: hotel casa duranta,6,6,,259.0
6,CASA GAIA,11 AVENIDA 11-97 ZONA 10 BARRIO SAN JORGE,77327140,info@hotelcasagaia.com      casa.gaia.gt@gmail.com,www.hotelcasagaia.com,7,7,,259.0
7,CASA KIRVÁ,"KILOMETRO 204.4, RUTA HACIA COBAN ALDEA TONTEM, FRENTE A LA BUGA",33986634,info@casakirva.com,,8,8,,259.0
8,CASA Q´EQCHI,"4A. CALLE, 7-29 ZONA 3 SAN JUAN ACALA",71897689,info@hotelencoban.com,www.hotelencoban.com         fb: hotel en coban,9,9,,259.0
9,D'ROSALES,1A. AVENIDA 5-50 ZONA 12 LOTIFICACION CARLOS V,48860329,salberosales@gmail.com,,10,10,,259.0
10,HOSTAL DEL ANGEL,3RA. CALLE 02-38 ZONA 3,36025425,delangelcoban@gmail.com,,11,11,,259.0
11,HOTEL  BETHEL,9A. AVENIDA 2-17 ZONA 1,57733330,hotelbethel1@gmail.com,,12,12,,259.0
12,HOTEL BOUTIQUE CASA JOSÉ,CASA 108 ZONA 9 RESIDENCIALES SASAY,36809965,francismoralesmadrid@gmail.com,www.casajose.com.gt,13,13,,259.0
13,HOTEL D'FABIAN,KM. 224.1 CARRETERA A CHISEC ALDEA CHINA ICHAB FINCA SIGUANHA,60425086,maryorhie_31@hotmail.com,,14,14,,259.0
14,HOTEL LA CABAÑA INGLESA,6A CALLE 2-14 ZONA 8 PERIFERICO SUR COBÁN,77592533,cabanainglesa@hotmail.com,www.cabanainglesa.com,15,15,,259.0
15,HOTEL LA POSADA DE DON ANTONIO,"5A. AVENIDA, 1-51 ZONA 4",62034005,laposadadedonantonio@gmail.com,www.hotelposadadedonantonio.com,16,16,,259.0
16,HOTEL LAS TERRAZAS,2DA. AVENIDA Y 4TA. CALLE 1-97 ZONA 3,22180546,,,17,17,,259.0
17,HOTEL MONJA BLANCA,2A.CALLE 6-30 ZONA 2,84117329,eperezmartinez@gmail.com,,18,18,,259.0
18,HOTEL OXIB PECK,1A. CALLE 12-11 ZONA 1,88135511,hoteloxp@gmail.com,,19,19,,259.0
19,HOTEL POSADA DE COBAN,5A. AVENIDA 1-57 ZONA 4,14674565,laposadadedonantonio@gmail.com,,20,20,,259.0
20,HOTEL POSADA DEL PARQUE,2A CALLE 1-36 ZONA 2,93136419,inge.humbertong@gmail.com,,21,21,,259.0
21,HOTEL VILLA TOSCANA SALONES Y CAFE,ALDEA TOMTEM,48445826,villatoscana017@gmail.com,,22,22,,259.0
22,HOTEL Y CAFETERIA COBAN IMPERIAL,6 AVENIDA 1-12 ZONA 1,58094774,,,23,23,,259.0
23,HOTEL Y CAFETERIA LA PAZ,6 AVENIDA 2-19 ZONA 1,66656826,,,24,24,,259.0
24,HOTEL Y RESTAURANT VILLA REAL,1 AVENIDA 1-72 ZONA 8,98565278,vero835_2@hotmail.com,,25,25,,259.0
25,"HOTEL Y RESTAURANTE ""CASA BELLA""",KILÓMETRO 203.5 ALDEA TOMTEM,15000304,,,26,26,,259.0
26,HOTEL Y RESTAURANTE LA CABAÑA DE DON PEDRO,SALIDA A SANTA CRUZ ALDEA CHICHAIC,58446898,hoteldonpedro3@gmail.com,,27,27,,259.0
27,LA POSADA INVERSIONES,"1 CALLE, 4-12 ZONA 2",26125683,,,28,28,,259.0
28,MANSION SANTO DOMINGO DE GUZMAN,KILOMETRO 216 CARRETERA A SAN PEDRO CARCHA,87100767,reservaciones@mansioncoban.com.gt,www.mansioncoban.com.gt,29,29,,259.0
29,RABIN AJAU HOTEL Y RESTAURANTE,1A CALLE 5-37 ZONA 1,54308445,rabinajauhotelyrestaurante@gmail.com,,30,30,,259.0
30,VILLA LAS CABAÑUELAS,0 AVENIDA 6-250 ZONA 8,99627167,reservaciones@villalascabanuelas.com,www.villalascabanuelas.com,31,31,,259.0
31,HOTEL LA HULERA,2A. CALLE BARRIO SAN BENITO,69907096,,,32,32,,273.0
32,HOTEL POSADA DON JONAS,CALLE PRINCIPAL LOTE 264 BARRIO SANTA MARIA ASUNCIÓN SEGUNDO NIVEL,97586590,,fb: hotel posada de don jonas,33,33,,273.0
33,"HOTEL Y RESTAURANTE  ""MANATI´S""",CALLE PRINCIPAL BARRIO LA ASUNCIÓN,80042785,,,34,34,,273.0
34,GREENGO´S,COMUNIDAD CHICANUZ,43099884,,infoetgreengoshotel.com,35,35,,269.0
35,HOSTAL EL PORTAL DE CHAMPEY,,88074806,,www.hostalelportaldechampey.com,36,36,,269.0
36,HOTEL EL RECREO LANQUIN CHAMPEY,ENTRADA A LANQUIN,97882230,"elrecreolanquin-champey@hotmail.com, elrecreolanquin2@gmail.com",,37,37,,269.0
37,LAS MARIAS K´AN B´A,RUTA A SEMUC CHAMPEY,35272519,posadalasmarias@yahoo.com,,38,38,,269.0
38,UTOPIA ECO HOTEL,ALDEA SEMIL,46502111,info@utopiaecohotel.com,www.utopiaecohotel.com,39,39,,269.0
39,HOTEL R & M,BARRIO EL CENTRO,49856776,,,40,40,,265.0
40,HOTEL Y RESTAURANTE RUBEL NAHUQ,CALLE LA LINEA ALDEA TELEMAN,52337809,msajchehuite@gmail.com,,41,41,,265.0
41,MULTISERVICIOS TZ'UNUN HA,ALDEA TELEMAN,56644335,,,42,42,,265.0
42,CANDELARIA LODGE,"KILOMETRO 319, CARRETERA A RAXRUHA",32284945,,,43,43,,275.0
43,HOTEL Y RESTAURANTE PANISTE,"COMUNIDAD TUCUMJA, ALDEA PANISTÉ LOTE 15-58 PB",10772845,hotelpaniste@gmail.com,www.paniste.com,44,44,,261.0
44,CHIJUL GUATEMALA,KILÓMETRO 2.5 SAN JUAN CHAMELCO A SANTA CRUZ VERAPAZ ALDEA SACAJUT,25776332,,,45,45,,268.0
45,HOTEL POSADA REAL CARCHA,KM. 218.5 CARRETERA DE COBAN A SAN PEDRO CARCHA,54099173,realcarcha@hotmail.com,,46,46,,267.0
46,PARQUE HUN NAL YE,ALDEA SAN VICENTE CHICATAL,60850462,info@parquehunnalye.com,www.parquehunnalye.com,47,47,,267.0
47,HOTEL VILLA LUCITA,BARRIO SAN BENITO,27920393,marlongonzalezm@hotmail.com,,48,48,,274.0
48,BELLA VERAPAZ HOTEL Y RESTAURANT,"KILOMETRO 197.5, RUTA A LAS VERAPACES",38301033,hbellaverapaz@turbonet.net.gt,www.bellaverapaz.com,49,49,,260.0
49,CASA HOTEL SAN RAFAEL,RESIDENCIALES MILANO,66892999,sanrafaelcoban@gmail.com,,50,50,,260.0
50,"HOSTAL ""LOS BORDOS""",KILOMETRO 197.5 ALDEA SAQUIJA,92843465,,,51,51,,260.0
51,HOTEL DEL PARQUE ( PARK HOTEL ),"KM. 196, CARRETERA A COBAN",95371447,"info@parkhotelresort.com, eventos@parkhotel.com, parkhotel@live.com",www.parkhotelresort.com,52,52,4.0,260.0
52,HOTEL Y RESTAURANTE  ECOCENTRO HOLANDA,FINCA HOLANDA,25218245,ecocentroholanda@gmail.com,,53,53,,260.0
53,HOTEL Y RESTAURANTE CASA BLANCA,KILOMETRO 191.5 CRUCE DEL RIO,94898574,reinaponce08@hotmail.com,,54,54,,260.0
54,HOTEL Y RESTAURANTE ENTRE RIOS,KILOMETRO 200 CARRETERA CA-7W CASERÍO EL ARCO-SACMES,90343333,infoentrerioscoban@gmail.com,,55,55,,260.0
55,SAN RAFAEL,"KILOMETRO 200.5, CARRETERA COBAN-GUATEMALA",36889286,sanrafaelcoban@gmail.com,,56,56,,260.0
56,"HOTEL EL RECREO SENAHU, SUCURSAL 2",ESQUINA OPUESTA AL PARQUE CENTRAL,56163582,hoteleselrecreo@gmail.com,www.hoteleselrecreo.com,57,57,,266.0
57,CHI IXIM ECO HOTEL,"KM. 183, CARRETERA A COBAN",11311161,chiximecohotel@gmail.com,www.chiixim.fv2b.com,58,58,,262.0
58,HOTEL MANSION LA CAÑADA,2A. CALLE 11-08 ZONA 3,92345024,"erwing657@hotmail.com, hotelyrestaurantelacanada@yahoo.com, hotelyrestaurantelacanada@hotmail.com",,59,59,,262.0
59,POSADA DEL GUARDABARRANCO,KILÓMETRO 177.9 RUTA A LAS VERAPACES,30746242,mansion_colonial@yahoo.com,,60,60,,262.0
60,CENTRO RECREATIVO LOS DELFINES,BARRIO MAGDALENA,48355686,losdelfinescubulco@yahoo.com,,61,61,,254.0
61,HOTEL Y RESTAURANTE LOS CACTUS,KILOMETRO 192.2 CASERIO LLANO EL PINO,92251665,hotelyrestauranteloscactus2022@gmail.com,fb:  hotel y restaurante los cactus,62,62,,254.0
62,HOTEL Y RESTAURANTE MAYE´N,CALLE PARQUE CENTRAL,57046617,fitomayen@hotmail.com,,63,63,,256.0
63,HOTEL VISTA AL VALLE,"CAMINO ORATORIO PB TRÁNSITO, ZONA 0",42587067,hotelvistaalvalle@hotmail.com,,64,64,,255.0
64,HOTEL Y RESTAURANTE COUNTRY DELIGHTS,"KILOMETRO 166.5, CARRETERA A COBAN",19234288,ecountrydelights@gmail.com,www.countrydelights.com,65,65,,258.0
65,RAM TZUL,"KILOMETRO 158, CARRETERA A COBAN, EN JURISDICCION DEL MUNICIPIO DE PURULHA",95432922,ramtzul@gmail.com,www.m-y-c-.com.ar/ramtzul,66,66,,258.0
66,RESTAURANTE Y HOTEL MONTEBELLO,KM.164 RUTA A COBAN,94180201,ecomontebello@gmail.com,www.restaurantemontebello.com,67,67,,258.0
67,HOTEL SAN PEDRO,2 AVENIDA 1-60 ZONA 4,40444024,hotelsanpedrorabinal@gmail.com,,68,68,,253.0
68,HOTEL ORQUIDEA MAYA,KILOMETRO 145.3 ALDEA SAN JUAN,98054370,hotelorquideamaya@gmail.com,,69,69,,251.0
69,HOTEL Y RESTAURANTE LA CASONA,13-33 ZONA 0 MANZANZA B,67445818,***completó***,,70,70,,251.0
70,HOTEL Y RESTAURANTE UN NUEVO AMANECER,ALDEA SAN JUAN,33763700,ochongdeleon@gmail.com,,71,71,,251.0
71,HOTEL Y RESTAURANTE VALLE DE ORO,RUTA 2 3-032 ZONA 1,20670079,hvosalama@gmail.com,,72,72,,251.0
72,HOTEL Y RESTAURANTE VALLE REAL,6 AVENIDA A 5-22 ZONA 1 BARRIO EL CENTRO,17547382,vallerealsalama@gmail.com,,73,73,,251.0
73,POSADA MONTAÑA DEL QUETZAL,"KILOMETRO 156.5, CARRETERA A COBAN",35133444,hpquetzalcoban@hotmail.com,www.hposadaquetzal.com,74,74,,251.0
74,HACIENDA RIO ESCONDIDO,KILÓMETRO 144 ALDEA MATANZAS,20294690,hdarioescondido@gmail.com,,75,75,,257.0
75,HOSPEDAJE LAS TEJAS,ALDEA LOS LIMONES,19889600,gelgavv@hotmail.com,fb:  restaurante y hospedaje las tejas,76,76,,257.0
76,"HOTEL ""LOS MOLINOS""",CALLE LOS MOLINOS 3145 ZONA 0 ALDEA EL CACAO,68349096,hotellosmolinos@outlook.com,,77,77,,257.0
77,HOTEL SAN JERONIMO,CALLE PUEBLO NUEVO,11609930,hotelsanjeronimobv@gmail.com,,78,78,,257.0
78,INVERSIONES TZ´ALAM HA,CAMINO A ALDEA LOS LIMONES,28831309,hoteltzalamha@hotmail.com,,79,79,,257.0
79,CRYSOL CENTER HOTEL,2DA. AVENIDA 1-91A ZONA 2,30096271,crysolch@gmail.com,,80,80,,42.0
80,HOTEL LA ESTANCIA,2A. CALLE 2-60 ZONA 1,35655321,josemabonanza17@gmail.com,,81,81,,42.0
81,HOTEL RESTAURANTE EVENTOS SAN MIGUEL,CALLE REAL ALDEA SAN MIGUEL MORAZAN,88193370,cyhotelsanmiguel@gmail.com,,82,82,,57.0
82,HOTEL Y RESTAURANTE LA VILLA,KM. 50 CARRETERA INTERAMERICANA,95331782,hotelyrestaurantevilla1@hotmail.com,fb:  hotel la villa,83,83,,57.0
83,LA POSADA DON GABRIEL,KILOMETRO 70.5 CARRETERA INTERAMERICANA,22927848,laposadadongabriel@gmail.com,,84,84,,50.0
84,HOTEL CASA DE GRACIA.,4 CALLE 3-58 ZONA 2,22017352,axelsuquen@gmail.com,hotelcasadegraciapatzun.com,85,85,,48.0
85,VILLA KATLEYA HOSPEDAJE Y SPA,CASERIO CHUATACAJ,53603329,villakatleya@hotmail.com,http://villakatleya.es.tl,86,86,,46.0
86,BONANZA LA PONDEROSA,KILÓMETRO 88 CARRETERA INTERAMERICANA CASERÍO SANTA TERESA ASUNCIÓN MANZANALES,22686924,,,87,87,,47.0
87,CASA XARA,ALDEA CRUZ DE SANTIAGO CAMINO A PAXOROTOT,82830048,linmacilla@gmail.com,wwwcasaxara.com,88,88,,47.0
88,"DE MONTAÑA, RESTAURANTE, HOTEL Y JARDIN PARA EVENTOS","KILOMETRO 89, CARRETERA INTERAMERICANA, SAN LORENZO ZONA 2",42466916,corporacion.aluarca@gmail.com,www.demontanagt.com,89,89,,47.0
89,HOTEL ALBERGUES DE TECPAN ECO RESORT,KM 88.5 CARRETERA INTERAMERICANA,18609457,administracionyfinanzas@alberguestecpan.com,,90,90,,47.0
90,HOTEL IXIMCHE IN1,1RA. AVENIDA 1-47 ZONA 3,15452163,yessijiatz@hotmail.com,,91,91,,47.0
91,PASEO XEJASMIN,MANZANALES SECTOR 1 8176 1,59395561,gerencia@paseoxejasmin.com,www.paseoxejasmin.com,92,92,,47.0
92,VILLA LAURA HOTEL & RESTAURANTE,"KM. 85 CARRETERA INTERAMERICANA, CASERIO PAMANZANA",78998441,,,93,93,,47.0
93,HOTEL Y RESTAURANTE VILLA ALCAZAR,"KM. 63 CARRETERA INTERAMERICANA, ALDEA AGUA DULCE",42458888,valla_alcazar@yahoo.com,fb: villa alcazar zaragoza,94,94,,56.0
94,CENTRO DE  EDUCACION POPULAR EL TULE,"FINCA EL TULE, KM. 177.5 CARRETERA A IPALA",97278087,gtmcedep@wvi.org,,95,95,,306.0
95,GRAND CAPORAL HOTEL,"KILOMETRO 173, CARRETERA A ESQUIPULAS",14830221,reservacionesgc@gmail.com,,96,96,,306.0
96,GRAND VILLA DE ORIENTE HOTEL,COLONIA ROSAS ZONA 5,31968171,08182058@galileo.edu,,97,97,,306.0
