,id,nombre,nombreDepa
0,1,Guatemala,Guatemala
1,2,Santa Catarina Pinula,Guatemala
2,3,San Jose Pinula,Guatemala
3,4,San Jose Del Golfo,Guatemala
4,5,Palencia,Guatemala
5,6,Chinautla,Guatemala
6,7,San Pedro Ayampuc,Guatemala
7,8,Mixco,Guatemala
8,9,San Pedro Sacatepequez,Guatemala
9,10,San Juan Sacatepequez,Guatemala
10,11,San Raymundo,Guatemala
11,12,Chuarrancho,Guatemala
12,13,Fraijanes,Guatemala
13,14,Amatitlan,Guatemala
14,15,Villa Nueva,Guatemala
15,16,Villa Canales,Guatemala
16,17,Petapa,Guatemala
17,18,Guastatoya,El Progreso
18,19,Morazan,El Progreso
19,20,San Agustin Acasaguastlan,El Progreso
20,21,San Cristobal Acasaguastlan,El Progreso
21,22,El Jicaro,El Progreso
22,23,Sansare,El Progreso
23,24,Sanarate,El Progreso
24,25,San Antonio La Paz,El Progreso
25,26,Antigua Guatemala,Sacatepequez
26,27,Jocotenango,Sacatepequez
27,28,Pastores,Sacatepequez
28,29,Sumpango,Sacatepequez
29,30,Santo Domingo Xenacoj,Sacatepequez
30,31,Santiago Sacatepequez,Sacatepequez
31,32,San Bartolome Milpas Altas,Sacatepequez
32,33,San Lucas Sacatepequez,Sacatepequez
33,34,Santa Lucia Milpas Altas,Sacatepequez
34,35,Magdalena Milpas Altas,Sacatepequez
35,36,Santa Maria De Jesus,Sacatepequez
36,37,Ciudad Vieja,Sacatepequez
37,38,San Miguel Dueñas,Sacatepequez
38,39,Alotenango,Sacatepequez
39,40,San Antonio Aguas Calientes,Sacatepequez
40,41,Santa Catarina Barahona,Sacatepequez
41,42,Chimaltenango,Chimaltenango
42,43,San Jose Poaquil,Chimaltenango
43,44,San Martin Jilotepeque,Chimaltenango
44,45,Comalapa,Chimaltenango
45,46,Santa Apolonia,Chimaltenango
46,47,Tecpan Guatemala,Chimaltenango
47,48,Patzun,Chimaltenango
48,49,Pochuta,Chimaltenango
49,50,Patzicia,Chimaltenango
50,51,Santa Cruz Balanya,Chimaltenango
51,52,Acatenango,Chimaltenango
52,53,San Pedro Yepocapa,Chimaltenango
53,54,San Andres Itzapa,Chimaltenango
54,55,Parramos,Chimaltenango
55,56,Zaragoza,Chimaltenango
56,57,El Tejar,Chimaltenango
57,58,Escuintla,Escuintla
58,59,Santa Lucia Cotzumalguapa,Escuintla
59,60,La Democracia,Escuintla
60,61,Siquinala,Escuintla
61,62,Masagua,Escuintla
62,63,Tiquisate,Escuintla
63,64,La Gomera,Escuintla
64,65,Guanagazapa,Escuintla
65,66,San Jose,Escuintla
66,67,Iztapa,Escuintla
67,68,Palin,Escuintla
68,69,San Vicente Pacaya,Escuintla
69,70,Nueva Concepcion,Escuintla
70,71,Sipacate,Escuintla
71,72,Cuilapa,Santa Rosa
72,73,Barberena,Santa Rosa
73,74,Santa Rosa De Lima,Santa Rosa
74,75,Casillas,Santa Rosa
75,76,San Rafael Las Flores,Santa Rosa
76,77,Oratorio,Santa Rosa
77,78,San Juan Tecuaco,Santa Rosa
78,79,Chiquimulilla,Santa Rosa
79,80,Taxisco,Santa Rosa
80,81,Santa Maria Ixhuatan,Santa Rosa
81,82,Guazacapan,Santa Rosa
82,83,Santa Cruz Naranjo,Santa Rosa
83,84,Pueblo Nuevo Viñas,Santa Rosa
84,85,Nueva Santa Rosa,Santa Rosa
85,86,Solola,Solola
86,87,San Jose Chacaya,Solola
87,88,Santa Maria Visitacion,Solola
88,89,Santa Lucia Utatlan,Solola
89,90,Nahuala,Solola
90,91,Santa Catarina Ixtahuacan,Solola
91,92,Santa Clara La Laguna,Solola
92,93,Concepcion,Solola
93,94,San Andres Semetabaj,Solola
94,95,Panajachel,Solola
95,96,Santa Catarina Palopo,Solola
96,97,San Antonio Palopo,Solola
97,98,San Lucas Toliman,Solola
98,99,Santa Cruz La Laguna,Solola
99,100,San Pablo La Laguna,Solola
100,101,San Marcos La Laguna,Solola
101,102,San Juan La Laguna,Solola
102,103,San Pedro La Laguna,Solola
103,104,Santiago Atitlan,Solola
104,105,Totonicapan,Totonicapan
105,106,San Cristobal Totonicapan,Totonicapan
106,107,San Francisco El Alto,Totonicapan
